Arm	# Genes	Amp frequency	Amp frequency score	Amp z-score	Amp q-value	Del frequency	Del frequency score	Del z-score	Del q-value
1p	3092	0.50	0.50	1.3	0.305	0.00	0.00	-0.439	0.711
1q	2863	0.50	0.50	1.37	0.292	0.00	0.00	-0.424	0.711
2p	1500	0.00	0.00	-0.328	0.711	0.50	0.50	1.92	0.389
2q	2495	0.50	0.50	1.49	0.254	0.00	0.00	-0.399	0.711
3p	1531	0.00	0.00	-0.331	0.711	0.50	0.50	1.9	0.389
3q	1708	0.00	0.00	-0.486	0.711	0.00	0.00	-0.486	0.711
4p	693	0.00	0.00	-0.372	0.711	0.00	0.00	-0.372	0.711
4q	1467	0.00	0.00	-0.461	0.711	0.00	0.00	-0.461	0.711
5p	456	0.50	0.50	2.75	0.121	0.00	0.00	-0.242	0.711
5q	2185	0.50	0.50	1.6	0.223	0.00	0.00	-0.378	0.711
6p	1664	0.00	0.00	-0.482	0.711	0.00	0.00	-0.482	0.711
6q	1304	0.00	0.00	-0.443	0.711	0.00	0.00	-0.443	0.711
7p	926	0.00	0.00	-0.4	0.711	0.00	0.00	-0.4	0.711
7q	1717	0.00	0.00	-0.487	0.711	0.00	0.00	-0.487	0.711
8p	795	0.00	0.00	-0.385	0.711	0.00	0.00	-0.385	0.711
8q	1249	0.50	0.50	2.07	0.136	0.00	0.00	-0.309	0.711
9p	621	0.00	0.00	-0.363	0.711	0.00	0.00	-0.363	0.711
9q	1610	0.00	0.00	-0.476	0.711	0.00	0.00	-0.476	0.711
10p	767	0.00	0.00	-0.381	0.711	0.00	0.00	-0.381	0.711
10q	1968	0.00	0.00	-0.513	0.711	0.00	0.00	-0.513	0.711
11p	1162	0.00	0.00	-0.428	0.711	0.00	0.00	-0.428	0.711
11q	2133	0.00	0.00	-0.529	0.711	0.00	0.00	-0.529	0.711
12p	804	0.50	0.50	2.4	0.136	0.00	0.00	-0.273	0.711
12q	2055	0.50	0.50	1.66	0.222	0.00	0.00	-0.369	0.711
13q	1092	0.00	0.00	-0.42	0.711	0.00	0.00	-0.42	0.711
14q	1829	0.50	0.50	1.76	0.203	0.00	0.00	-0.353	0.711
15q	2082	0.00	0.00	-0.524	0.711	0.00	0.00	-0.524	0.711
16p	1378	0.50	0.50	1.99	0.136	0.00	0.00	-0.319	0.711
16q	1070	0.50	0.50	2.19	0.136	0.00	0.00	-0.295	0.711
17p	937	0.00	0.00	-0.402	0.711	0.00	0.00	-0.402	0.711
17q	2298	0.00	0.00	-0.545	0.711	0.00	0.00	-0.545	0.711
18p	212	0.00	0.00	-0.218	0.711	0.50	0.50	3.09	0.0416
18q	644	0.00	0.00	-0.366	0.711	0.00	0.00	-0.366	0.711
19p	1331	0.50	0.50	2.02	0.136	0.00	0.00	-0.316	0.711
19q	2402	0.00	0.00	-0.556	0.711	0.00	0.00	-0.556	0.711
20p	583	0.00	0.00	-0.359	0.711	0.00	0.00	-0.359	0.711
20q	1092	0.00	0.00	-0.42	0.711	0.00	0.00	-0.42	0.711
21q	750	0.00	0.00	-0.379	0.711	0.00	0.00	-0.379	0.711
22q	1258	0.50	0.50	2.06	0.136	0.00	0.00	-0.31	0.711
Xp	945	0.00	0.00	-0.403	0.711	0.00	0.00	-0.403	0.711
Xq	1533	0.00	0.00	-0.468	0.711	0.00	0.00	-0.468	0.711
