Chromosome Arm	TCGA-44-2665-01A	TCGA-44-2668-01A
1p	0.000	0.125
1q	0.000	0.359
2p	-0.456	0.000
2q	0.000	0.105
3p	0.000	-0.281
3q	0.000	-0.043
4p	0.000	0.000
4q	0.000	0.000
5p	0.000	0.502
5q	0.455	0.000
6p	0.000	0.000
6q	0.000	0.000
7p	0.000	0.000
7q	0.000	0.000
8p	0.000	0.000
8q	0.000	0.211
9p	0.000	0.000
9q	0.000	0.000
10p	0.000	0.000
10q	0.000	0.000
11p	0.000	0.000
11q	0.000	0.000
12p	0.000	0.253
12q	0.000	0.253
13q	0.000	0.000
14q	0.000	0.231
15q	0.000	0.000
16p	0.955	0.000
16q	0.955	0.000
17p	0.000	0.000
17q	0.000	0.000
18p	0.000	-0.104
18q	0.000	0.000
19p	0.405	0.000
19q	0.000	0.000
20p	0.000	0.000
20q	0.000	0.000
21q	0.000	0.000
22q	0.000	0.188
Xp	0.000	0.000
Xq	0.000	0.000
