gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	157539	43503	0	43	0	0	50	6	2643075	9.992007e-16	1.884692e-11
KEAP1	1996822	207	30	224910	65025	0	22	0	0	50	9	2735487	1.041963e-10	9.826755e-07
STK11	2214581	234	29	160446	44268	0	8	0	0	50	6	2934744	6.359280e-08	3.998291e-04
KRAS	259193	512	16	87414	21063	0	10	0	0	50	19	2939640	2.877131e-05	1.356711e-01
TNR	177437	738	4	495771	140862	0	17	4	0	44	24	2696931	1.348069e-04	5.085456e-01
MGA	765304	256	41	1103997	317373	0	11	2	0	45	12	3379617	2.087686e-04	5.676943e-01
CDH10	30232	737	-29	287742	80529	0	20	2	0	50	36	2753592	2.106807e-04	5.676943e-01
LPPR4	100692	868	-15	274074	80274	0	12	1	0	49	38	4117485	6.651000e-04	1
ZNF716	NaN	NaN	NaN	184263	45237	0	12	2	0	26	10	1703757	7.590204e-04	1
OR4K13	383274	768	-37	107253	32436	0	7	1	0	50	26	2682702	1.085593e-03	1
MRGPRF	557282	416	51	120360	39372	0	3	0	0	47	10	3383493	1.663904e-03	1
APBB1IP	236125	536	19	244800	69003	0	6	0	0	50	12	2789802	2.073771e-03	1
SLC9A8	649593	165	52	216444	59874	0	4	0	0	44	4	2147865	2.340994e-03	1
SAMD9L	362550	625	8	580023	148104	0	11	1	0	50	9	2829888	2.365502e-03	1
RPE65	201619	477	-16	201501	51867	0	7	0	0	50	22	3171945	2.524890e-03	1
RBM10	819569	NaN	38	345372	95421	0	7	0	0	50	8	2374713	2.573874e-03	1
FXYD6	473498	601	41	39168	9180	0	2	0	0	50	23	3392877	2.705376e-03	1
MUC17	1124475	272	43	1530459	539937	0	27	8	0	50	17	3592491	2.919952e-03	1
NOX3	108543	628	13	211956	57324	0	8	1	0	50	14	3066936	3.165550e-03	1
FGB	59883	1034	20	185283	45135	0	6	0	0	50	20	2739822	3.300354e-03	1
CD1E	135429	902	5	144636	36975	0	7	0	0	50	14	2364207	3.452902e-03	1
ZFHX4	72333	731	8	1304121	362202	0	40	7	0	50	37	3867789	3.527758e-03	1
RASA3	434290	406	58	316557	80784	0	6	1	0	50	12	3105033	3.591974e-03	1
DOCK2	94542	680	33	700179	171768	0	19	1	0	50	16	3506658	3.671840e-03	1
AGPAT2	1918290	190	56	100062	31365	0	3	0	0	50	5	2812089	3.835634e-03	1
OR56A4	432250	877	-13	128061	39627	0	9	1	0	50	34	2599419	3.867354e-03	1
C11orf88	401074	326	18	75225	18870	0	4	0	0	50	12	2895219	4.310892e-03	1
ASCL3	548433	243	21	65331	19125	0	2	0	0	50	13	2971464	4.507508e-03	1
CNBD1	148474	1191	-31	167637	39678	0	9	0	0	50	61	2983296	4.801708e-03	1
VTA1	169555	426	-15	115770	30192	0	4	0	0	50	16	2829939	5.364006e-03	1
ORAOV1	441431	536	41	53601	12189	0	2	0	0	50	6	2925921	5.574251e-03	1
CHRM2	72122	1001	-25	167076	47889	0	11	2	0	50	73	3655833	6.084465e-03	1
TOX2	639806	396	14	197268	60537	0	5	1	0	50	11	2871249	6.110866e-03	1
