gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	163717	45209	0	38	0	0	50	6	2746725	5.551115e-16	1.047051e-11
KRAS	259193	512	16	90842	21889	0	16	0	0	50	12	3054920	9.014711e-11	8.501774e-07
STK11	2214581	234	29	166738	46004	0	11	0	0	50	9	3049832	6.735023e-10	4.234533e-06
SMARCA4	1984564	190	40	644268	180783	0	11	0	0	50	5	3312553	1.044526e-05	4.925464e-02
KEAP1	1996822	207	30	233730	67575	0	10	1	0	50	15	2842761	4.387073e-05	1.654979e-01
SULT1E1	9735	1009	4	118667	26500	0	6	0	0	50	22	3381983	1.789570e-04	5.625812e-01
MSC	25834	905	6	74359	25016	0	5	0	0	50	18	3643167	2.809405e-04	7.570143e-01
RB1	349930	450	41	366124	93545	0	7	0	0	27	8	1863692	6.572960e-04	1
REG3A	10958	1389	-22	69324	18444	0	7	1	0	45	35	2181321	7.216592e-04	1
CSMD3	9197	1295	-29	1439427	383985	0	62	10	0	50	58	3610201	1.137637e-03	1
FAM177B	221712	236	-4	63600	14787	0	3	0	0	50	17	3355059	1.198702e-03	1
GALNT14	94332	876	6	215286	57399	0	7	1	0	50	17	2899153	1.502166e-03	1
GNG2	204232	471	27	28355	7261	0	2	0	0	50	5	2759657	1.508896e-03	1
PKIB	139315	1035	-16	30634	8321	0	2	0	0	50	23	3039285	1.641966e-03	1
UBTFL1	NaN	NaN	NaN	152322	35457	0	6	0	0	50	26	5937749	1.848525e-03	1
ZSCAN1	1187584	694	-42	150573	46428	0	6	1	0	50	15	2601452	2.489329e-03	1
ARSG	745529	225	-8	199386	57876	0	5	0	0	50	8	2859721	2.722806e-03	1
D4S234E	143657	525	46	71285	19981	0	2	0	0	50	13	3860997	2.772491e-03	1
HIST1H3B	408919	685	43	49290	16377	0	3	0	0	50	18	2513260	2.852888e-03	1
OPN5	173532	829	-4	134779	38690	0	5	1	0	50	26	2800944	2.998852e-03	1
GPR174	14321	NaN	62	124497	35139	0	5	0	0	50	14	3601191	3.012187e-03	1
LHX8	162631	959	-23	137376	38001	0	6	0	0	50	32	3792521	3.286362e-03	1
ZNF735	NaN	NaN	NaN	160696	37895	0	7	0	0	50	26	5940187	3.412577e-03	1
SLC12A5	630342	381	51	440536	128048	0	8	1	0	50	5	3313878	3.413719e-03	1
OR10J3	285980	737	-6	120151	36941	0	7	1	0	20	9	1657416	3.513433e-03	1
UBE2A	663615	NaN	48	60844	15317	0	3	0	0	50	8	2762519	3.540580e-03	1
CCL21	712216	220	49	51993	14628	0	2	0	0	50	3	2752820	3.585436e-03	1
SLC6A5	148079	842	1	302683	87503	0	7	0	0	28	8	1945100	3.715434e-03	1
KLRD1	406053	331	1	73352	16324	0	3	0	0	50	12	3294639	3.795432e-03	1
CRIPT	603816	252	35	42347	9169	0	2	0	0	50	9	3277997	4.148223e-03	1
SVOP	574926	NaN	32	116441	34132	0	3	0	0	50	11	3932547	4.242055e-03	1
TCF23	1214097	238	50	78281	26182	0	4	0	0	50	12	3385905	4.388216e-03	1
CLNK	214087	1111	17	175324	40757	0	5	0	0	50	6	2766547	4.471893e-03	1
CD33	352763	629	1	138383	41605	0	5	0	0	50	19	3340802	5.065678e-03	1
PEG3	NaN	NaN	NaN	558143	141616	0	13	1	0	50	27	6043908	5.417089e-03	1
OR10G2	658946	624	20	111194	36994	0	5	0	0	50	9	3523599	5.591723e-03	1
PRKCB	513265	610	21	285723	70596	0	6	2	0	50	7	2612105	6.167725e-03	1
OR51V1	109545	1056	-1	118296	35139	0	5	1	0	50	15	2679203	7.116354e-03	1
TOX2	639806	396	14	205004	62911	0	3	0	0	50	3	2983847	7.795316e-03	1
HEPH	282730	NaN	4	466612	124709	0	10	1	0	50	14	2830094	8.040417e-03	1
COQ7	861035	199	8	84058	23426	0	4	0	0	50	13	2859350	8.277052e-03	1
