CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
A549_LUNG	A549		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	yes	yes
ABC1_LUNG	ABC-1		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D12_296084	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	yes	yes
CAL12T_LUNG	CAL-12T		M	lung	carcinoma	non_small_cell_carcinoma		DSMZ	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F04_419796	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202	yes	yes
CALU3_LUNG	Calu-3		M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A02_474612	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216	yes	yes
CORL105_LUNG	COR-L105		M	lung	carcinoma	adenocarcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C04_698816	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C04_698598	yes	
DFCI024_LUNG	DFCI024			lung	carcinoma	adenocarcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C12_767852			
DV90_LUNG	DV-90		M	lung	carcinoma	adenocarcinoma		DSMZ	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C03_454616	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C07_464566	yes	yes
HCC1171_LUNG	HCC-1171		M	lung	carcinoma	non_small_cell_carcinoma		KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G05_698912	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C04_592644	yes	yes
HCC1833_LUNG	HCC-1833			lung	carcinoma	adenocarcinoma		KCLB	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B01_779640		yes	yes
HCC2108_LUNG	HCC-2108		M	lung	carcinoma	adenocarcinoma		KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A09_569560		yes	yes
HCC2279_LUNG	HCC-2279		F	lung	carcinoma	adenocarcinoma		KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E07_698836	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B12_698578	yes	yes
HCC2935_LUNG	HCC2935		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D02_474658	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F02_698602	yes	yes
HCC364_LUNG	HCC364			lung	carcinoma	adenocarcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C07_767802			
HCC4006_LUNG	HCC4006		M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A11_474652	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A06_464612	yes	yes
HCC44_LUNG	HCC-44		F	lung	carcinoma	adenocarcinoma		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B04_302134	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F01_293400	yes	yes
HCC78_LUNG	HCC-78		M	lung	carcinoma	adenocarcinoma		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C05_296046	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C10_293346	yes	yes
HCC827GR5_LUNG	HCC-827-GR5			lung	carcinoma	adenocarcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D05_767812			
HCC827_LUNG	HCC827		F	lung	carcinoma	adenocarcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B05_523590	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G03_542786	yes	yes
HLC1_LUNG	HLC-1			lung	carcinoma	adenocarcinoma	Identical lines: HMC-1-8 and HLC-1 share high SNP identity and are probably lung.	RIKEN	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E08_698868	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_F11_592724	yes	
HS229T_LUNG	Hs 229.T		M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E03_454660	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F01_464686	yes	yes
HS618T_LUNG	Hs 618.T		F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H06_436442	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D09_437422	yes	yes
LU65_LUNG	LU65		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E10_436478	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E02_464726	yes	yes
LXF289_LUNG	LXF-289		M	lung	carcinoma	adenocarcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_G02_523642	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G10_542940	yes	yes
MORCPR_LUNG	MOR/CPR			lung	carcinoma	adenocarcinoma		ECACC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A02_383724	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A02_335190	yes	yes
NCIH1299_LUNG	NCI-H1299	H1299	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E09_257710	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A01_335188	yes	yes
NCIH1355_LUNG	NCI-H1355	H1355	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_H09_383782	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C04_437326	yes	yes
NCIH1373_LUNG	NCI-H1373	H1373	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_D12_454650	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D05_464546	yes	yes
NCIH1395_LUNG	NCI-H1395	H1395	F	lung	carcinoma	adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_G03_296138	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A10_437334	yes	
NCIH1435_LUNG	NCI-H1435	H1435	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A03_474622	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D03_464550	yes	yes
NCIH1437_LUNG	NCI-H1437	H1437	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B11_383748	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E05_335292	yes	yes
NCIH1563_LUNG	NCI-H1563	H1563	M	lung	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B05_383744	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C11_335256	yes	yes
NCIH1568_LUNG	NCI-H1568	H1568	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A08_383764	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C08_335250	yes	yes
NCIH1573_LUNG	NCI-H1573	H1573	F	lung	carcinoma	adenocarcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F11_436456	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_B08_437530	yes	yes
NCIH1623_LUNG	NCI-H1623	H1623	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E02_454662	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F12_464672	yes	yes
NCIH1648_LUNG	NCI-H1648	H1648	M	lung	carcinoma	adenocarcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_C12_454632	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_F05_437444	yes	yes
