CCLE Cell Line Name	Primary Cell Line Name	Compound	Target	Doses (uM)	Activity Data (median)	Activity SD	Num Data	FitType	EC50 (uM)	IC50 (uM)	Amax	ActArea
A549_LUNG	A549	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	5.54,5.62,-.69,-7.7,-.50,-24,-60,-102	2.46,.16,6.07,.64,3.96,5.91,2.04,.94	8	Sigmoid	3.299131155	1.954786897	-101.6332169	1.6406
CAL12T_LUNG	CAL-12T	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	10.2,2.68,-7.9,-18,-23,-53,-76,-108	2.55,7.94,5.85,5.98,2.37,5.79,4.85,5.82	8	Sigmoid	8.080013295	0.795476556	-107.62677	2.0875
CALU1_LUNG	Calu-1	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	7.36,11.2,-5.6,-.76,-3.9,-12,-12,-15	6.21,9.75,10.1,.30,6.91,3.51,10.2,.037	8	Sigmoid	0.144324616	8	-14.84715843	0.1548
CALU3_LUNG	Calu-3	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	2.55,-3.4,15.9,20.5,-6.7,-6.1,-5.7,-53	6.84,8.93,4.98,13.3,8.57,14.4,23.9,2.26	8	Sigmoid	8.784340242	7.724710464	-52.09960175	0.561
CALU6_LUNG	Calu-6	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-2.9,-7.9,6.82,-8.4,.42,-17,-50,-89	9.53,2.53,10.5,7.60,14.1,3.04,11.2,5.29	8	Sigmoid	2.774231672	2.476439953	-88.89853668	1.511
COLO677_LUNG	COLO-677	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	7.56,3.24,16.3,6.78,-.11,-14,-11,-37	10.3,3.63,.10,12.2,1.54,1.69,6.80,.86	8	Sigmoid	8.183113677	8	-35.00981903	0.7073
COLO699_LUNG	COLO-699	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	11.2,12.8,-5.7,-15,-25,-36,-53,-63	17.0,6.20,6.26,11.9,8.09,17.1,.26,6.06	8	Sigmoid	0.593975365	2.213190556	-63.27663422	1.6792
CORL105_LUNG	COR-L105	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	6.27,-11,9.31,8.42,1.63,-18,-19,-35	23.8,6.79,24.4,2.90,19.1,10.0,13.4,3.82	8	Sigmoid	1.042907119	8	-32.01757813	0.4341
CORL23_LUNG	COR-L23	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-4.3,3.09,-.82,-2.1,-3.1,-12,-22,-55	3.08,4.52,7.54,1.14,4.52,11.8,5.68,13.5	8	Sigmoid	8.556682562	8	-45.55822372	0.7416
DMS114_LUNG	DMS 114	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	5.96,-10,-17,-14,-1.6,-49,-47,-66	2.79,2.73,2.03,1.22,2.59,2.90,4.10,9.63	8	Sigmoid	0.581314266	0.851508498	-56.23934937	2.3798
DV90_LUNG	DV-90	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	36.6,-13,6.60,7.70,13.0,-25,-7.7,-38	15.5,1.11,11.8,27.1,2.33,7.95,15.8,15.9	8	Linear	NA	8	-36.10621643	1.0623
EBC1_LUNG	EBC-1	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-7.7,2.27,-17,14.1,-23,-10,-29,-70	10.0,5.17,6.70,2.18,2.59,15.5,9.33,.60	8	Sigmoid	9.014387097	5.164176464	-69.96417236	1.2742
GLC82_LUNG	GLC-82	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	20.9,20.1,10.3,.58,-9.7,-21,-35,-39	12.5,1.64,10.4,6.19,11.7,.54,11.1,1.22	8	Sigmoid	0.274161726	8	-40.02377701	1.0288
HARA_LUNG	HARA	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	.87,11.2,-3.1,-1.3,-12,.051,-16,-31	2.07,4.25,7.00,6.43,13.8,4.93,7.84,9.32	8	Sigmoid	8.608051705	8	-29.93915749	0.4855
HCC15_LUNG	HCC-15	AEW541	IGF1R	.0025,.0080,.025,.080,.25,.80,2.53,8	-1.5,-.66,2.41,-9.7,-8.2,-11,-12,-42	11.3,3.39,6.94,5.93,6.71,.40,31.4,8.60	8	Sigmoid	8.044845396	8	-42.06724548	1.1557
