gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	179162	49474	0	55	1	0	50	6	3005850	0	0
CDKN2A	225405	357	-15	138330	36018	0	9	0	0	50	10	3584458	5.821038e-10	5.489821e-06
CDH10	30232	737	-29	327236	91582	0	20	0	0	50	28	3131536	5.173255e-06	3.252598e-02
SCN1A	98532	550	-11	845002	221966	0	18	2	0	50	13	3982512	1.001629e-04	4.723180e-01
NFE2L2	372300	145	36	252474	66642	0	11	2	0	50	13	3107930	2.167043e-04	8.174955e-01
EDNRB	63780	954	31	200564	56260	0	6	1	0	50	14	3545830	3.493369e-04	1
OR11H12	141957	747	-11	131776	38570	0	6	0	0	50	14	3753354	7.074005e-04	1
PTEN	259678	300	34	175624	40832	0	4	0	0	50	7	2971340	7.979506e-04	1
CFHR2	217857	853	-24	115188	29406	0	5	0	0	50	15	3237038	8.943736e-04	1
OR4C12	11630	1171	-38	125454	37062	0	7	0	0	50	36	3429076	1.399388e-03	1
KEAP1	1996822	207	30	255780	73950	0	8	0	0	50	5	3110946	1.573400e-03	1
RNF185	699351	218	41	82534	22388	0	3	0	0	50	7	3787922	1.600041e-03	1
RGS7	134467	834	-27	215876	50692	0	5	1	0	50	22	3216390	2.292450e-03	1
CPA4	424934	212	30	180264	47328	0	3	0	0	50	6	3938838	2.351138e-03	1
LACRT	615189	494	31	59160	16878	0	3	0	0	50	18	4110866	2.878528e-03	1
CYP1A1	746043	199	41	210714	61248	0	5	0	0	50	12	3575120	3.259761e-03	1
ATP8A1	189404	856	28	513184	133574	0	7	1	0	50	9	3704692	3.602546e-03	1
CPNE3	192772	1166	22	232406	58870	0	6	0	0	50	11	3523790	4.120626e-03	1
ZNF750	711691	350	16	286520	92104	0	3	1	0	50	2	2754478	4.322612e-03	1
GLRA4	485629	NaN	43	203754	53592	0	3	0	0	50	1	2992394	4.477876e-03	1
H3F3B	1885370	198	27	55912	17690	0	2	0	0	50	6	3527560	4.518903e-03	1
ARHGAP11B	220858	693	10	113274	30798	0	2	0	0	50	7	3269460	5.117673e-03	1
LSM5	371992	639	6	40600	10556	0	2	0	0	50	11	3200208	5.408610e-03	1
ZNF804B	3101	1030	-20	560976	145464	0	17	1	0	50	30	3695934	5.642827e-03	1
B2M	673122	428	36	51388	13688	0	2	0	0	50	8	3264704	5.781750e-03	1
GPR174	14321	NaN	62	136242	38454	0	3	0	0	50	8	3940926	6.040983e-03	1
PEG3	NaN	NaN	NaN	610798	154976	0	12	0	0	50	31	6614088	6.171100e-03	1
TMEM14A	531039	498	18	42514	12470	0	2	0	0	50	11	3018494	6.520108e-03	1
TNN	169074	612	14	540270	150858	0	11	3	0	50	9	3027716	6.822865e-03	1
CD200	260383	621	20	122728	35438	0	3	0	0	50	7	3074580	7.046924e-03	1
BMP5	68578	483	-9	191168	50866	0	4	1	0	50	14	3999622	7.126585e-03	1
PIK3CG	171312	700	32	457446	125280	0	9	3	0	50	11	3380820	7.154167e-03	1
HNMT	82611	496	-3	155556	38106	0	3	0	0	50	10	3750164	7.632504e-03	1
CCBE1	257439	491	24	170752	49010	0	3	0	0	50	4	3302288	7.966031e-03	1
SLC13A1	99560	955	-15	249806	71398	0	4	1	0	50	18	3754108	8.151294e-03	1
CGA	209764	625	-3	49996	13166	0	2	0	0	50	12	3376238	8.186229e-03	1
SMR3A	264684	915	25	52722	19140	0	3	0	0	50	7	2839970	8.195504e-03	1
FBXL20	1467668	179	20	186934	50924	0	3	0	0	50	3	3078292	8.201461e-03	1
OR9G1	NaN	NaN	NaN	122206	37178	0	4	0	0	50	31	6496290	8.445527e-03	1
ASAP1	264818	427	30	478732	130964	0	4	0	0	50	7	4312126	8.878943e-03	1
DNAJB8	829484	317	50	94888	26738	0	4	0	0	50	7	3202296	8.891084e-03	1
ALLC	252769	496	5	167272	45008	0	4	0	0	50	8	4020154	9.061539e-03	1
POTEE	462125	NaN	11	455996	115768	0	8	2	0	47	15	3746278	9.317632e-03	1
SLC28A1	355337	291	25	280720	82418	0	4	0	0	50	9	4395066	9.363288e-03	1
PIK3CA	401889	613	11	457852	114086	0	11	0	0	45	11	3212388	9.562269e-03	1
XKR3	106864	720	-97	191922	50286	0	6	0	0	47	22	3596870	9.821779e-03	1
APPL2	233879	387	30	286984	74066	0	5	0	0	50	8	4093466	1.003660e-02	1
MIP	2793663	184	61	104574	35670	0	2	0	0	50	6	4335674	1.025006e-02	1
AKR1D1	220333	478	16	140476	36134	0	2	0	0	50	7	2960030	1.078245e-02	1
GIN1	205281	565	14	221560	56318	0	3	0	0	50	6	3026324	1.084642e-02	1
SPHKAP	93607	615	-9	700698	195228	0	16	0	0	11	1	867100	1.110382e-02	1
TMEM199	1405196	214	10	86014	27260	0	3	0	0	50	7	3665716	1.143265e-02	1
OTOP1	178901	584	34	247196	76618	0	4	1	0	50	8	3352748	1.149964e-02	1
RB1	349930	450	41	400664	102370	0	3	0	0	50	7	3666760	1.208105e-02	1
ICAM3	1802015	191	21	220632	70296	0	2	0	0	50	6	4200998	1.259911e-02	1
CPA3	306125	544	-14	180554	44950	0	5	0	0	50	16	3544148	1.322089e-02	1
MS4A14	433906	899	24	281126	76618	0	7	0	0	50	9	2982998	1.344202e-02	1
UGT3A1	155890	614	-4	227592	64032	0	4	1	0	50	13	3711710	1.355498e-02	1
OAT	280862	543	16	183860	52084	0	2	0	0	50	9	4012904	1.445661e-02	1
FBXW7	117295	501	51	354032	94888	0	4	0	0	50	10	3911462	1.447249e-02	1
SIRPG	421072	486	32	158340	48024	0	4	0	0	50	7	2714110	1.466222e-02	1
CFL1	3779084	287	42	70702	18560	0	2	0	0	50	10	3216390	1.472866e-02	1
BPHL	444075	435	41	122148	34800	0	2	0	0	50	6	4193632	1.478433e-02	1
ZNF80	410007	614	10	113970	29058	0	3	0	0	50	14	3497574	1.480172e-02	1
