CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
A549_LUNG	A549		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	yes	yes
ABC1_LUNG	ABC-1		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D12_296084	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	yes	yes
CAL12T_LUNG	CAL-12T		M	lung	carcinoma	non_small_cell_carcinoma		DSMZ	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F04_419796	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202	yes	yes
CALU1_LUNG	Calu-1		M	lung	carcinoma	squamous_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D07_257682	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140	yes	yes
EBC1_LUNG	EBC-1		M	lung	carcinoma	squamous_cell_carcinoma		RIKEN	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G12_436484	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A07_437582	yes	yes
EPLC272H_LUNG	EPLC-272H		M	lung	carcinoma	squamous_cell_carcinoma		DSMZ	CASED_p_NCLE_RNA4_HG-U133_Plus_2_H05_383766	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H04_293454	yes	yes
HARA_LUNG	HARA		M	lung	carcinoma	squamous_cell_carcinoma		HSRRB	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A03_383722	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B06_335222	yes	yes
HCC1171_LUNG	HCC-1171		M	lung	carcinoma	non_small_cell_carcinoma		KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_G05_698912	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_C04_592644	yes	yes
HCC1588_LUNG	HCC-1588		F	lung	carcinoma	squamous_cell_carcinoma	Identical lines: HCC-1588 and LS513 share high SNP identity. Really is LS513	KCLB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_F03_698802		yes	yes
HCC15_LUNG	HCC-15		M	lung	carcinoma	squamous_cell_carcinoma		DSMZ	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E01_241138	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_H01_293448	yes	yes
HCC1897_LUNG	HCC-1897	HCC1897		lung	carcinoma	squamous_cell_carcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D01_767822	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_E08_780228		
HCC2814_LUNG	HCC-2814	HCC2814		lung	carcinoma	squamous_cell_carcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A12_767798			
HCC2935_LUNG	HCC2935		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D02_474658	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F02_698602	yes	yes
HCC95_LUNG	HCC-95		M	lung	carcinoma	squamous_cell_carcinoma		KCLB	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A01_569468	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E08_592780	yes	yes
HLFA_LUNG	HLF-a		F	lung	carcinoma	squamous_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B01_296014	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F08_437208	yes	yes
KNS62_LUNG	KNS-62		M	lung	carcinoma	squamous_cell_carcinoma		HSRRB	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B12_383632	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A10_335206	yes	yes
LC1F_LUNG	LC-1F		M	lung	carcinoma	squamous_cell_carcinoma	Identical lines: LC-1/sq-SF and LC-1F share high SNP identity.	RIKEN	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_F02_587572	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F01_578430	yes	yes
LC1SQSF_LUNG	LC-1/sq-SF	LC-1 sq	M	lung	carcinoma	squamous_cell_carcinoma	Identical lines: LC-1/sq-SF and LC-1F share high SNP identity.	RIKEN	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_G03_569408	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D06_293362	yes	yes
LK2_LUNG	LK-2		M	lung	carcinoma	squamous_cell_carcinoma		RIKEN	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D11_240942	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C02_246660	yes	yes
LOUNH91_LUNG	LOU-NH91		F	lung	carcinoma	squamous_cell_carcinoma		DSMZ	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D09_240938	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_B04_246640	yes	yes
LU65_LUNG	LU65		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E10_436478	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E02_464726	yes	yes
LUDLU1_LUNG	LUDLU-1		M	lung	carcinoma	squamous_cell_carcinoma		ECACC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_H03_419816	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A03_437566	yes	yes
NCIH1299_LUNG	NCI-H1299	H1299	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E09_257710	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A01_335188	yes	yes
NCIH1385_LUNG	NCI-H1385	H1385	F	lung	carcinoma	squamous_cell_carcinoma		ATCC	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B04_523612	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F10_698740	yes	yes
NCIH1435_LUNG	NCI-H1435	H1435	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A03_474622	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D03_464550	yes	yes
NCIH1568_LUNG	NCI-H1568	H1568	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A08_383764	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C08_335250	yes	yes
NCIH1793_LUNG	NCI-H1793	H1793	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B10_383746	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_B12_411058	yes	yes
NCIH1838_LUNG	NCI-H1838	H1838	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E04_454658	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_A03_464626	yes	yes
NCIH1869_LUNG	NCI-H1869	H1869	M	lung	carcinoma	squamous_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A05_474768	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G02_698552	yes	yes
NCIH1944_LUNG	NCI-H1944	H1944	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B11_474698	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C10_464560	yes	yes
NCIH1975_LUNG	NCI-H1975	H1975	F	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H03_241022	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034	yes	yes
NCIH2030_LUNG	NCI-H2030	H2030	M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E08_240960	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G06_246764	yes	yes
