sample	Chrom	Start	End	value
TCGA-91-6849-01A	1	3301765	119984772	0.0513
TCGA-91-6849-01A	1	146716041	247650984	0.4326
TCGA-91-6849-01A	2	480597	35915774	0.0682
TCGA-91-6849-01A	2	35918976	35955177	-0.8541
TCGA-91-6849-01A	2	35959554	65082603	0.0645
TCGA-91-6849-01A	2	65082854	65278812	0.462
TCGA-91-6849-01A	2	65290548	241537572	0.072
TCGA-91-6849-01A	3	2170634	197812401	0.0554
TCGA-91-6849-01A	4	1059384	25006591	0.0523
TCGA-91-6849-01A	4	25008057	25008917	-2.1357
TCGA-91-6849-01A	4	25010052	187842528	0.0573
TCGA-91-6849-01A	5	913983	180934240	0.0591
TCGA-91-6849-01A	6	1011760	11289219	0.0535
TCGA-91-6849-01A	6	11290032	11295050	-1.0827
TCGA-91-6849-01A	6	11295194	12597646	0.0557
TCGA-91-6849-01A	6	12599104	12600711	-1.9883
TCGA-91-6849-01A	6	12600921	65039756	0.0539
TCGA-91-6849-01A	6	65049683	121908990	-0.4533
TCGA-91-6849-01A	6	121911428	124947501	0.0666
TCGA-91-6849-01A	6	124948430	170585052	-0.4628
TCGA-91-6849-01A	6	170587556	170596889	-0.0915
TCGA-91-6849-01A	7	664936	158592540	0.0617
TCGA-91-6849-01A	8	667625	16235891	0.0581
TCGA-91-6849-01A	8	16241712	16244743	-1.3412
TCGA-91-6849-01A	8	16245257	72909628	0.0553
TCGA-91-6849-01A	8	72909996	72910401	-2.008
TCGA-91-6849-01A	8	72911510	144182542	0.0565
TCGA-91-6849-01A	9	789794	38752071	-0.4598
TCGA-91-6849-01A	9	68423153	73389076	0.0566
TCGA-91-6849-01A	9	73390142	73395434	-1.5982
TCGA-91-6849-01A	9	73396105	88614752	0.0462
TCGA-91-6849-01A	9	88614920	88624568	-1.4291
TCGA-91-6849-01A	9	88627088	95464077	0.0516
TCGA-91-6849-01A	9	95464121	95464418	-1.7841
TCGA-91-6849-01A	9	95464468	138044505	0.0482
TCGA-91-6849-01A	10	366509	69628755	0.0553
TCGA-91-6849-01A	10	69632523	69651450	-1.2403
TCGA-91-6849-01A	10	69653835	98516282	0.0491
TCGA-91-6849-01A	10	98518300	98518335	-1.947
TCGA-91-6849-01A	10	98520095	121156039	0.0494
TCGA-91-6849-01A	10	121157197	121162944	-0.5667
TCGA-91-6849-01A	10	121163200	133411599	0.0499
TCGA-91-6849-01A	11	456012	81415202	0.0574
TCGA-91-6849-01A	11	81418555	107071674	0.4445
TCGA-91-6849-01A	11	107076874	134272740	-0.4978
TCGA-91-6849-01A	12	780472	11565648	0.0558
TCGA-91-6849-01A	12	11566021	48034367	-0.4759
TCGA-91-6849-01A	12	48034636	57236661	0.0705
TCGA-91-6849-01A	12	57245773	59384891	0.4357
TCGA-91-6849-01A	12	59385199	60902133	0.0508
TCGA-91-6849-01A	12	60905970	61165458	0.495
TCGA-91-6849-01A	12	61165693	72098658	0.0688
TCGA-91-6849-01A	12	72101626	73913012	0.4619
TCGA-91-6849-01A	12	74031681	74198424	0.6425
TCGA-91-6849-01A	12	74203021	74818747	0.4438
TCGA-91-6849-01A	12	74827987	132605822	-0.4865
TCGA-91-6849-01A	13	18874255	114226675	0.0606
TCGA-91-6849-01A	14	20033191	101460749	0.0552
TCGA-91-6849-01A	14	101462956	101464080	-1.8785
TCGA-91-6849-01A	14	101464260	103178699	0.043
TCGA-91-6849-01A	14	103179140	103184173	-1.6576
TCGA-91-6849-01A	14	103186697	105533894	0.0446
TCGA-91-6849-01A	15	23437561	80795881	0.0506
TCGA-91-6849-01A	15	80796434	80796509	-1.9598
TCGA-91-6849-01A	15	80800636	98128809	0.052
TCGA-91-6849-01A	15	98128831	98129067	-2.1782
TCGA-91-6849-01A	15	98129424	101344124	0.0451
TCGA-91-6849-01A	16	603333	82340434	0.0541
TCGA-91-6849-01A	16	82340474	82348558	-1.2638
TCGA-91-6849-01A	16	82356979	89317317	0.0459
TCGA-91-6849-01A	17	1074619	3319633	0.0572
TCGA-91-6849-01A	17	3325706	3326398	-1.3527
TCGA-91-6849-01A	17	3333550	82959812	0.0592
TCGA-91-6849-01A	18	326691	79349796	0.0537
TCGA-91-6849-01A	19	283868	10041102	-0.4541
TCGA-91-6849-01A	19	10043997	10044150	-2.5256
TCGA-91-6849-01A	19	10044523	15019857	-0.4341
TCGA-91-6849-01A	19	15025396	15446489	0.0614
TCGA-91-6849-01A	19	15453905	27749470	-0.4494
TCGA-91-6849-01A	19	27749586	58370362	0.06
TCGA-91-6849-01A	20	472817	63588502	0.0497
TCGA-91-6849-01A	21	13974127	40552492	0.0615
TCGA-91-6849-01A	21	40554219	40554778	-1.8181
TCGA-91-6849-01A	21	40557910	46262057	0.0653
TCGA-91-6849-01A	22	16934932	48940621	0.0477
TCGA-91-6849-01A	X	3236359	39762612	0.0218
TCGA-91-6849-01A	X	39766149	39839481	0.6311
TCGA-91-6849-01A	X	39844544	155677414	0.0206
