sample	Chrom	Start	End	value
TCGA-55-7574-01A	1	3301765	7597033	0.1564
TCGA-55-7574-01A	1	7597680	8431853	0.0312
TCGA-55-7574-01A	1	8432644	9778296	0.1531
TCGA-55-7574-01A	1	9784716	10162947	0.0331
TCGA-55-7574-01A	1	10163022	10424794	0.1208
TCGA-55-7574-01A	1	10424907	10662911	0.0077
TCGA-55-7574-01A	1	10666632	11777242	0.1571
TCGA-55-7574-01A	1	11777763	12149493	0.0075
TCGA-55-7574-01A	1	12156431	13769925	0.1222
TCGA-55-7574-01A	1	13769962	14071696	0.0265
TCGA-55-7574-01A	1	14073132	14430560	0.1675
TCGA-55-7574-01A	1	14430744	23390135	0.0211
TCGA-55-7574-01A	1	23393044	35657009	-0.1097
TCGA-55-7574-01A	1	35657668	38364526	0.0067
TCGA-55-7574-01A	1	38369145	38917494	-0.1202
TCGA-55-7574-01A	1	38919547	43266448	0.0127
TCGA-55-7574-01A	1	43267036	44072886	-0.1198
TCGA-55-7574-01A	1	44075615	52735029	0.0245
TCGA-55-7574-01A	1	52737992	54292628	-0.1215
TCGA-55-7574-01A	1	54295743	61052767	0.0271
TCGA-55-7574-01A	1	61056146	61583104	-0.084
TCGA-55-7574-01A	1	61583307	78378294	0.0296
TCGA-55-7574-01A	1	78378312	78609328	-0.1155
TCGA-55-7574-01A	1	78613481	79702833	0.0205
TCGA-55-7574-01A	1	79705683	80289470	-0.1063
TCGA-55-7574-01A	1	80315916	84139646	0.0204
TCGA-55-7574-01A	1	84143675	86403091	-0.0953
TCGA-55-7574-01A	1	86404070	91040036	0.0301
TCGA-55-7574-01A	1	91041536	91472138	-0.1206
TCGA-55-7574-01A	1	91473167	91761330	0.0371
TCGA-55-7574-01A	1	91768263	92624919	-0.1006
TCGA-55-7574-01A	1	92627194	96237082	0.0243
TCGA-55-7574-01A	1	96237139	111184275	-0.0252
TCGA-55-7574-01A	1	111184774	116041897	-0.1645
TCGA-55-7574-01A	1	116045946	117272208	-0.054
TCGA-55-7574-01A	1	117275774	119665849	0.055
TCGA-55-7574-01A	1	119666941	149906351	-0.0294
TCGA-55-7574-01A	1	149909846	157756886	0.3416
TCGA-55-7574-01A	1	157759384	158508468	0.4454
TCGA-55-7574-01A	1	158513786	161202735	0.3656
TCGA-55-7574-01A	1	161202941	169246873	0.152
TCGA-55-7574-01A	1	169247699	169548082	0.3666
TCGA-55-7574-01A	1	169549874	170301927	0.4
TCGA-55-7574-01A	1	170302029	176446882	0.4641
TCGA-55-7574-01A	1	176448578	176667524	0.387
TCGA-55-7574-01A	1	176668322	187897762	0.343
TCGA-55-7574-01A	1	187897775	190349634	0.2983
TCGA-55-7574-01A	1	190353016	203009069	0.2344
TCGA-55-7574-01A	1	203009306	207433747	0.3571
TCGA-55-7574-01A	1	207434180	209131367	0.1616
TCGA-55-7574-01A	1	209132320	212798827	0.3179
TCGA-55-7574-01A	1	212798840	216776531	0.4013
TCGA-55-7574-01A	1	216776594	218964306	0.4449
TCGA-55-7574-01A	1	218965058	227604154	0.248
TCGA-55-7574-01A	1	227607252	227764311	-0.0282
TCGA-55-7574-01A	1	227768124	228093516	0.241
TCGA-55-7574-01A	1	228094258	231188551	0.0208
TCGA-55-7574-01A	1	231188698	232395709	0.1918
TCGA-55-7574-01A	1	232395807	247650984	0.0187
TCGA-55-7574-01A	2	480597	70716286	-0.0218
TCGA-55-7574-01A	2	70716497	70716577	-2.105
TCGA-55-7574-01A	2	70716884	77738395	-0.0368
TCGA-55-7574-01A	2	77774293	78293644	0.0813
TCGA-55-7574-01A	2	78293794	81719737	-0.0397
TCGA-55-7574-01A	2	81722839	81723371	-1.2242
TCGA-55-7574-01A	2	81726408	83234510	-0.0529
TCGA-55-7574-01A	2	83235796	87936297	0.0783
TCGA-55-7574-01A	2	87942402	95022090	-0.0028
TCGA-55-7574-01A	2	95027029	103699646	0.1041
TCGA-55-7574-01A	2	103700025	122152955	0.0292
TCGA-55-7574-01A	2	122162999	122171122	-1.1027
TCGA-55-7574-01A	2	122172128	196937814	0.0294
TCGA-55-7574-01A	2	196938295	198098250	0.0036
TCGA-55-7574-01A	2	198100201	219702258	-0.0288
TCGA-55-7574-01A	2	219702670	221162018	0.0259
TCGA-55-7574-01A	2	221162076	221162090	-1.293
TCGA-55-7574-01A	2	221162424	241537572	0.0181
TCGA-55-7574-01A	3	2170634	90453712	0.0262
TCGA-55-7574-01A	3	91390926	97958725	-0.1186
TCGA-55-7574-01A	3	97959170	197812401	0.034
TCGA-55-7574-01A	4	1059384	45591440	-0.1075
TCGA-55-7574-01A	4	45603382	110121184	-0.0909
TCGA-55-7574-01A	4	110121916	110122054	-1.6473
TCGA-55-7574-01A	4	110123089	187842528	-0.0927
TCGA-55-7574-01A	5	913983	1966664	0.006
TCGA-55-7574-01A	5	1966759	8203819	0.0911
TCGA-55-7574-01A	5	8206145	8219828	-0.5813
TCGA-55-7574-01A	5	8226226	24202891	0.084
TCGA-55-7574-01A	5	24203160	41552949	0.1126
TCGA-55-7574-01A	5	41553361	50837911	0.0923
TCGA-55-7574-01A	5	50839150	50944285	0.3687
TCGA-55-7574-01A	5	50944465	50998042	0.0639
TCGA-55-7574-01A	5	50999097	180934240	0.0104
TCGA-55-7574-01A	6	1011760	1190758	-0.0221
TCGA-55-7574-01A	6	1192187	1192736	-1.0716
TCGA-55-7574-01A	6	1193180	6273851	-0.0113
TCGA-55-7574-01A	6	6273928	6274021	-0.9479
TCGA-55-7574-01A	6	6274337	6917026	-0.0174
TCGA-55-7574-01A	6	6917893	7504124	0.0688
TCGA-55-7574-01A	6	7504154	10446120	-0.0991
TCGA-55-7574-01A	6	10446860	11202971	0.1024
TCGA-55-7574-01A	6	11203673	13755353	-0.1054
TCGA-55-7574-01A	6	13761884	14005790	0.0692
TCGA-55-7574-01A	6	14005856	14299565	0.2173
TCGA-55-7574-01A	6	14303270	14303362	-0.4097
TCGA-55-7574-01A	6	14305574	14836033	0.2578
TCGA-55-7574-01A	6	14843529	15725192	0.0638
TCGA-55-7574-01A	6	15725212	17346244	-0.1109
TCGA-55-7574-01A	6	17347331	19083803	0.0948
TCGA-55-7574-01A	6	19087505	48410530	-0.0209
TCGA-55-7574-01A	6	48413546	50936543	-0.1169
TCGA-55-7574-01A	6	50937126	57237925	-0.0555
TCGA-55-7574-01A	6	57240675	61530738	0.0068
TCGA-55-7574-01A	6	61596503	69000229	0.1631
TCGA-55-7574-01A	6	69000433	69727260	0.4446
TCGA-55-7574-01A	6	69727314	89779406	-0.047
TCGA-55-7574-01A	6	89779430	91032879	0.0266
TCGA-55-7574-01A	6	91039523	93023666	0.2246
TCGA-55-7574-01A	6	93025356	93331391	0.354
TCGA-55-7574-01A	6	93331821	93424209	0.1946
TCGA-55-7574-01A	6	93424505	123934233	-0.0558
TCGA-55-7574-01A	6	123935320	123936198	-1.1222
TCGA-55-7574-01A	6	123940169	170596889	-0.0592
TCGA-55-7574-01A	7	664936	119606410	-0.0128
TCGA-55-7574-01A	7	119610132	121244399	0.1055
TCGA-55-7574-01A	7	121245493	122366011	-0.0114
TCGA-55-7574-01A	7	122366262	145917382	0.0446
TCGA-55-7574-01A	7	145921459	146058095	-0.0198
TCGA-55-7574-01A	7	146062008	146095755	0.162
TCGA-55-7574-01A	7	146097238	150643123	-0.0131
TCGA-55-7574-01A	7	150643707	150644353	-1.4177
TCGA-55-7574-01A	7	150644630	158592540	-0.0087
TCGA-55-7574-01A	8	667625	16500751	-0.08
TCGA-55-7574-01A	8	16501359	16507409	-0.6018
TCGA-55-7574-01A	8	16507423	34820410	-0.078
TCGA-55-7574-01A	8	34822702	34823845	-1.0138
TCGA-55-7574-01A	8	34829516	43080575	-0.0848
TCGA-55-7574-01A	8	46547532	46653968	0.0237
TCGA-55-7574-01A	8	46657995	88835949	-0.053
TCGA-55-7574-01A	8	88836362	91923956	-0.0056
TCGA-55-7574-01A	8	91924385	98879411	0.063
TCGA-55-7574-01A	8	98879860	99779711	0.2438
TCGA-55-7574-01A	8	99783054	102512233	0.057
TCGA-55-7574-01A	8	102513383	102613016	0.4199
TCGA-55-7574-01A	8	102617978	102765303	0.0456
TCGA-55-7574-01A	8	102767930	102862333	0.4429
TCGA-55-7574-01A	8	102862696	103139551	0.0828
TCGA-55-7574-01A	8	103142485	103345719	0.4083
TCGA-55-7574-01A	8	103347493	104036067	0.0677
TCGA-55-7574-01A	8	104036069	104140776	0.4132
TCGA-55-7574-01A	8	104141531	104157222	0.1612
TCGA-55-7574-01A	8	104157721	107122352	0.0318
TCGA-55-7574-01A	8	107124084	108338419	0.1719
TCGA-55-7574-01A	8	108340755	108615032	0.4621
TCGA-55-7574-01A	8	108615454	108780359	0.1574
TCGA-55-7574-01A	8	108780542	110054165	0.0417
TCGA-55-7574-01A	8	110054765	111191830	0.3945
TCGA-55-7574-01A	8	111194826	111244905	0.0023
TCGA-55-7574-01A	8	111245751	111290954	0.437
TCGA-55-7574-01A	8	111291092	112310860	0.0238
TCGA-55-7574-01A	8	112319651	112373405	0.4701
TCGA-55-7574-01A	8	112376592	114223538	0.0814
TCGA-55-7574-01A	8	114226145	114516042	0.246
TCGA-55-7574-01A	8	114516114	114879397	0.4542
TCGA-55-7574-01A	8	114879450	115881602	0.1797
TCGA-55-7574-01A	8	115888184	116097420	0.5443
TCGA-55-7574-01A	8	116099307	116189002	0.1909
TCGA-55-7574-01A	8	116194157	116495249	0.5094
TCGA-55-7574-01A	8	116496912	116956373	0.1418
TCGA-55-7574-01A	8	116957693	118167803	0.0524
TCGA-55-7574-01A	8	118167910	118363424	0.1148
TCGA-55-7574-01A	8	118364750	118367001	-0.8511
TCGA-55-7574-01A	8	118367315	119870902	0.0703
TCGA-55-7574-01A	8	119877094	120486096	0.1651
TCGA-55-7574-01A	8	120486124	120561934	0.3374
TCGA-55-7574-01A	8	120562935	120671947	0.1675
TCGA-55-7574-01A	8	120672553	121857412	0.0756
TCGA-55-7574-01A	8	121857881	121964556	0.2265
TCGA-55-7574-01A	8	121964618	123151439	0.0547
TCGA-55-7574-01A	8	123153570	124637639	0.4183
TCGA-55-7574-01A	8	124638412	125076147	0.0741
TCGA-55-7574-01A	8	125076270	125519373	0.1636
TCGA-55-7574-01A	8	125522373	125916604	0.3726
TCGA-55-7574-01A	8	125926317	126075112	0.2357
TCGA-55-7574-01A	8	126075991	128721980	0.185
TCGA-55-7574-01A	8	128728852	129303900	0.0957
TCGA-55-7574-01A	8	129305373	129518081	0.1766
TCGA-55-7574-01A	8	129520840	133613487	0.2236
TCGA-55-7574-01A	8	133614531	133915145	0.327
TCGA-55-7574-01A	8	133915839	134241155	0.2221
TCGA-55-7574-01A	8	134241303	134770560	0.3355
TCGA-55-7574-01A	8	134770738	139537829	0.1392
TCGA-55-7574-01A	8	139538034	139692727	0.4678
TCGA-55-7574-01A	8	139698855	144182542	0.1245
TCGA-55-7574-01A	9	789794	7580824	-0.1117
TCGA-55-7574-01A	9	7580951	7582441	-2.2938
TCGA-55-7574-01A	9	7582673	25499530	-0.1112
TCGA-55-7574-01A	9	25499582	25568800	-0.044
TCGA-55-7574-01A	9	25568853	29072798	0.0935
TCGA-55-7574-01A	9	29074574	69184167	0.0052
TCGA-55-7574-01A	9	69184251	136451496	-0.0296
TCGA-55-7574-01A	9	136451637	138044505	0.0187
TCGA-55-7574-01A	10	366509	6088114	0.2779
TCGA-55-7574-01A	10	6091902	15981711	0.0575
TCGA-55-7574-01A	10	15985763	26903228	-0.0072
TCGA-55-7574-01A	10	26903285	30013385	0.1234
TCGA-55-7574-01A	10	30015670	42470188	0.2245
TCGA-55-7574-01A	10	42472862	44256871	-0.0434
TCGA-55-7574-01A	10	44256882	44636797	0.1043
TCGA-55-7574-01A	10	44636819	49419347	-0.03
TCGA-55-7574-01A	10	49419360	51551881	0.1357
TCGA-55-7574-01A	10	51551896	52462894	0.029
TCGA-55-7574-01A	10	52462940	64351045	-0.0351
TCGA-55-7574-01A	10	64351388	65767793	0.1047
TCGA-55-7574-01A	10	65768327	132477040	-0.0397
TCGA-55-7574-01A	10	132478841	133339993	0.089
TCGA-55-7574-01A	10	133344595	133411599	0.2726
TCGA-55-7574-01A	11	456012	456120	0.3765
TCGA-55-7574-01A	11	458784	43697551	-0.0453
TCGA-55-7574-01A	11	43702082	86265495	0.0945
TCGA-55-7574-01A	11	86280159	86933347	-0.0339
TCGA-55-7574-01A	11	86935851	134272740	0.0828
TCGA-55-7574-01A	12	780472	22818845	-0.0503
TCGA-55-7574-01A	12	22819005	24223577	0.1684
TCGA-55-7574-01A	12	24228563	27482662	0.2209
TCGA-55-7574-01A	12	27487410	27585273	0.1312
TCGA-55-7574-01A	12	27585501	31395454	0.0927
TCGA-55-7574-01A	12	31396468	132605822	0.0296
TCGA-55-7574-01A	13	18874255	114226675	-0.0604
TCGA-55-7574-01A	14	20033191	46628032	0.0714
TCGA-55-7574-01A	14	46628262	105533894	0.0349
TCGA-55-7574-01A	15	23437561	33439259	-0.0574
TCGA-55-7574-01A	15	33439301	101344124	-0.1105
TCGA-55-7574-01A	16	603333	51921301	-0.0597
TCGA-55-7574-01A	16	51921366	55748291	-0.0219
TCGA-55-7574-01A	16	55748327	56075789	-0.1916
TCGA-55-7574-01A	16	56083607	59297382	-0.0897
TCGA-55-7574-01A	16	59297998	59976132	-0.0217
TCGA-55-7574-01A	16	59986943	60736122	-0.1743
TCGA-55-7574-01A	16	60736808	82452051	-0.0309
TCGA-55-7574-01A	16	82452083	82457786	-0.5828
TCGA-55-7574-01A	16	82457921	89317317	-0.0403
TCGA-55-7574-01A	17	1074619	1121455	-0.0662
TCGA-55-7574-01A	17	1122457	1176906	-1.0894
TCGA-55-7574-01A	17	1189284	6186748	-0.112
TCGA-55-7574-01A	17	6188546	6190171	-1.3277
TCGA-55-7574-01A	17	6190510	21381827	-0.1074
TCGA-55-7574-01A	17	21382256	28562333	0.0203
TCGA-55-7574-01A	17	28563001	31515867	-0.0476
TCGA-55-7574-01A	17	31516237	35012844	-0.0039
TCGA-55-7574-01A	17	35014815	35027357	0.7266
TCGA-55-7574-01A	17	35032889	35602729	-0.0272
TCGA-55-7574-01A	17	35604029	35761786	0.6431
TCGA-55-7574-01A	17	35767008	35787263	-0.045
TCGA-55-7574-01A	17	35788328	35918805	0.3339
TCGA-55-7574-01A	17	35918838	82959812	-0.0177
TCGA-55-7574-01A	18	326691	9327028	-0.1511
TCGA-55-7574-01A	18	9329269	27719865	-0.0209
TCGA-55-7574-01A	18	27722095	79349796	-0.1667
TCGA-55-7574-01A	19	283868	23848413	-0.0136
TCGA-55-7574-01A	19	23848522	57608396	0.032
TCGA-55-7574-01A	19	57609841	58370362	6e-04
TCGA-55-7574-01A	20	472817	5259709	0.3439
TCGA-55-7574-01A	20	5259946	6234383	0.1941
TCGA-55-7574-01A	20	6236333	6237297	1.5277
TCGA-55-7574-01A	20	6240559	16942240	0.1946
TCGA-55-7574-01A	20	16942277	17353856	0.2832
TCGA-55-7574-01A	20	17354196	17355046	-0.1598
TCGA-55-7574-01A	20	17355703	20362184	0.3017
TCGA-55-7574-01A	20	20362433	25529510	0.4423
TCGA-55-7574-01A	20	25530168	31256170	0.3041
TCGA-55-7574-01A	20	31258478	32389227	-0.0611
TCGA-55-7574-01A	20	32395640	33337672	0.0645
TCGA-55-7574-01A	20	33337811	34143656	-0.0635
TCGA-55-7574-01A	20	34149661	35538364	0.6741
TCGA-55-7574-01A	20	35549938	35622264	0.1951
TCGA-55-7574-01A	20	35623371	35674089	0.9933
TCGA-55-7574-01A	20	35675580	35867190	8e-04
TCGA-55-7574-01A	20	35867735	35879547	0.6313
TCGA-55-7574-01A	20	35880086	36938528	-0.0489
TCGA-55-7574-01A	20	36941421	36944613	0.8764
TCGA-55-7574-01A	20	36945441	52808538	-0.0341
TCGA-55-7574-01A	20	52809434	53160856	0.697
TCGA-55-7574-01A	20	53165723	53422126	0.0396
TCGA-55-7574-01A	20	53424094	54273423	0.6425
TCGA-55-7574-01A	20	54274797	54700477	0.102
TCGA-55-7574-01A	20	54703182	54764564	-0.0792
TCGA-55-7574-01A	20	54767412	54798135	0.2018
TCGA-55-7574-01A	20	54801180	54826968	-0.0611
TCGA-55-7574-01A	20	54827024	54854044	0.2036
TCGA-55-7574-01A	20	54856895	54994747	-0.0486
TCGA-55-7574-01A	20	54995601	55043960	0.2548
TCGA-55-7574-01A	20	55051924	55174719	0.8513
TCGA-55-7574-01A	20	55175567	56987407	-0.0291
TCGA-55-7574-01A	20	56989636	57034945	0.6031
TCGA-55-7574-01A	20	57035479	63588502	-0.0365
TCGA-55-7574-01A	21	13974127	46262057	-0.0564
TCGA-55-7574-01A	22	16934932	17306946	-0.1216
