sample	Chrom	Start	End	value
TCGA-56-7223-01A	1	3301765	7699004	-0.2873
TCGA-56-7223-01A	1	7710841	39888660	-0.3227
TCGA-56-7223-01A	1	39891596	39892380	-1.9077
TCGA-56-7223-01A	1	39897382	48668214	-0.3194
TCGA-56-7223-01A	1	48668918	76809527	-0.2979
TCGA-56-7223-01A	1	76812741	105693694	-0.3208
TCGA-56-7223-01A	1	105694237	105695999	-2.1261
TCGA-56-7223-01A	1	105696663	107277997	-0.325
TCGA-56-7223-01A	1	107278089	112029887	-0.3751
TCGA-56-7223-01A	1	112030532	119984772	-0.3287
TCGA-56-7223-01A	1	146716041	158087901	0.4637
TCGA-56-7223-01A	1	158090139	158939374	0.1555
TCGA-56-7223-01A	1	158940806	163973411	0.4724
TCGA-56-7223-01A	1	163974636	166493503	0.5348
TCGA-56-7223-01A	1	166503626	176568072	0.4721
TCGA-56-7223-01A	1	176568957	181473878	0.5078
TCGA-56-7223-01A	1	181474044	186582500	0.4703
TCGA-56-7223-01A	1	186585325	186883509	0.6914
TCGA-56-7223-01A	1	186883753	186888916	1.4588
TCGA-56-7223-01A	1	186889003	187853414	0.682
TCGA-56-7223-01A	1	187853800	189644983	0.5307
TCGA-56-7223-01A	1	189645536	198505966	0.4244
TCGA-56-7223-01A	1	198506005	199271033	0.341
TCGA-56-7223-01A	1	199271296	208777121	0.4257
TCGA-56-7223-01A	1	208777487	209816296	0.7228
TCGA-56-7223-01A	1	209821598	210206170	0.9984
TCGA-56-7223-01A	1	210206682	210992664	0.7384
TCGA-56-7223-01A	1	210993006	213488101	0.4181
TCGA-56-7223-01A	1	213488189	219076927	0.4691
TCGA-56-7223-01A	1	219076994	226871796	0.4237
TCGA-56-7223-01A	1	226872641	242121738	0.45
TCGA-56-7223-01A	1	242122159	247650984	0.426
TCGA-56-7223-01A	2	480597	2781751	0.2549
TCGA-56-7223-01A	2	2783927	3142265	1.0391
TCGA-56-7223-01A	2	3143365	4067448	0.2754
TCGA-56-7223-01A	2	4071727	4076260	-0.9311
TCGA-56-7223-01A	2	4079313	16209586	0.2367
TCGA-56-7223-01A	2	16211646	17061270	0.9968
TCGA-56-7223-01A	2	17065867	23652561	0.2668
TCGA-56-7223-01A	2	23655321	76243390	0.2366
TCGA-56-7223-01A	2	76245208	81413213	0.2519
TCGA-56-7223-01A	2	81417842	81860453	1.0379
TCGA-56-7223-01A	2	81862553	107462180	0.2269
TCGA-56-7223-01A	2	107466496	107466883	-1.0208
TCGA-56-7223-01A	2	107472243	140834029	0.2322
TCGA-56-7223-01A	2	140837628	140899386	-0.8754
TCGA-56-7223-01A	2	140901457	140960440	-0.2118
TCGA-56-7223-01A	2	140961670	141051658	-1.0823
TCGA-56-7223-01A	2	141053937	141262028	-4.0347
TCGA-56-7223-01A	2	141263078	141289595	-0.7975
TCGA-56-7223-01A	2	141289875	141344094	-0.2283
TCGA-56-7223-01A	2	141351524	141499433	0.2005
TCGA-56-7223-01A	2	141514959	141575926	-0.2675
TCGA-56-7223-01A	2	141576305	148485691	0.1854
TCGA-56-7223-01A	2	148492114	148499560	-0.284
TCGA-56-7223-01A	2	148499619	159905747	0.2227
TCGA-56-7223-01A	2	159907664	163314061	0.1812
TCGA-56-7223-01A	2	163316560	170071354	0.2342
TCGA-56-7223-01A	2	170071499	170071800	-0.8294
TCGA-56-7223-01A	2	170074066	174963370	0.2503
TCGA-56-7223-01A	2	174963666	178818913	0.3152
TCGA-56-7223-01A	2	178819092	182174207	0.2346
TCGA-56-7223-01A	2	182174543	184979270	0.2929
TCGA-56-7223-01A	2	184985579	188389093	0.2187
TCGA-56-7223-01A	2	188390524	210703331	0.1673
TCGA-56-7223-01A	2	210704957	210704961	-1.1859
TCGA-56-7223-01A	2	210704998	211825083	0.1571
TCGA-56-7223-01A	2	211839312	211957517	-0.3438
TCGA-56-7223-01A	2	211963119	224103584	0.1669
TCGA-56-7223-01A	2	224104027	233513219	0.1343
TCGA-56-7223-01A	2	233513224	241537572	0.1708
TCGA-56-7223-01A	3	2170634	3282186	-1.1964
TCGA-56-7223-01A	3	3284153	12614190	-0.3321
TCGA-56-7223-01A	3	12614351	18476670	-0.368
TCGA-56-7223-01A	3	18491767	44134821	-0.3293
TCGA-56-7223-01A	3	44135055	44144907	-1.5793
TCGA-56-7223-01A	3	44145270	54043229	-0.3436
TCGA-56-7223-01A	3	54043307	56338139	-0.2885
TCGA-56-7223-01A	3	56338425	61145507	-0.324
TCGA-56-7223-01A	3	61151201	61185605	0.5495
TCGA-56-7223-01A	3	61191114	66947786	-0.2923
TCGA-56-7223-01A	3	66947848	72588623	-0.3441
TCGA-56-7223-01A	3	72590078	72590181	-2.1709
TCGA-56-7223-01A	3	72592265	74881524	-0.3362
TCGA-56-7223-01A	3	74882725	74887922	0.8299
TCGA-56-7223-01A	3	74888362	89202469	-0.3225
TCGA-56-7223-01A	3	89208843	89937538	0.9865
TCGA-56-7223-01A	3	89938635	89981740	1.2922
TCGA-56-7223-01A	3	89991605	90287340	1.0228
TCGA-56-7223-01A	3	90293527	91462299	0.1591
TCGA-56-7223-01A	3	94015345	98088155	0.7403
TCGA-56-7223-01A	3	98090374	114316232	0.7051
TCGA-56-7223-01A	3	114323763	125688845	0.7369
TCGA-56-7223-01A	3	125705628	125900766	0.4596
TCGA-56-7223-01A	3	125902007	131892084	0.7239
TCGA-56-7223-01A	3	131892256	150178597	0.7463
TCGA-56-7223-01A	3	150178907	154033434	0.7111
TCGA-56-7223-01A	3	154039078	154175304	1.16
TCGA-56-7223-01A	3	154177371	154881811	0.4594
TCGA-56-7223-01A	3	154903895	155048715	2.1666
TCGA-56-7223-01A	3	155051044	155109998	1.6455
TCGA-56-7223-01A	3	155110596	155329009	1.9675
TCGA-56-7223-01A	3	155331307	155337934	0.4797
TCGA-56-7223-01A	3	155339911	155380887	2.07
TCGA-56-7223-01A	3	155381486	155391672	0.5326
TCGA-56-7223-01A	3	155396712	155418250	0.9888
TCGA-56-7223-01A	3	155418754	155443466	0.6456
TCGA-56-7223-01A	3	155447275	157370253	0.473
TCGA-56-7223-01A	3	157371193	157381819	1.1454
TCGA-56-7223-01A	3	157387769	157417806	0.5154
TCGA-56-7223-01A	3	157423252	157452735	1.6519
TCGA-56-7223-01A	3	157453411	160686275	0.4755
TCGA-56-7223-01A	3	160687247	160807009	0.9021
TCGA-56-7223-01A	3	160816623	161009206	0.504
TCGA-56-7223-01A	3	161028147	161035456	1.5986
TCGA-56-7223-01A	3	161037743	163321912	0.4359
TCGA-56-7223-01A	3	163331014	163339133	1.2998
TCGA-56-7223-01A	3	163351638	163984515	0.4614
TCGA-56-7223-01A	3	163985288	163988710	1.4678
TCGA-56-7223-01A	3	163994041	164261796	0.4401
TCGA-56-7223-01A	3	164266164	164286863	1.4209
TCGA-56-7223-01A	3	164304130	164501123	0.4803
TCGA-56-7223-01A	3	164541371	164568689	0.8273
TCGA-56-7223-01A	3	164569512	169704179	0.4688
TCGA-56-7223-01A	3	169704734	172129325	0.3986
TCGA-56-7223-01A	3	172134142	172153011	0.8951
TCGA-56-7223-01A	3	172161662	172732506	0.3872
TCGA-56-7223-01A	3	172733098	174365659	0.4769
TCGA-56-7223-01A	3	174365968	174769846	0.9181
TCGA-56-7223-01A	3	174771479	174898300	1.9618
TCGA-56-7223-01A	3	174898432	175118947	1.5293
TCGA-56-7223-01A	3	175126620	176623738	0.498
TCGA-56-7223-01A	3	176628308	176742459	1.1586
TCGA-56-7223-01A	3	176746347	176794082	1.7946
TCGA-56-7223-01A	3	176805162	176819733	1.0068
TCGA-56-7223-01A	3	176879427	178278652	0.4646
TCGA-56-7223-01A	3	178279865	178291645	1.2436
TCGA-56-7223-01A	3	178299685	178328373	0.4882
TCGA-56-7223-01A	3	178337974	178755758	0.9923
TCGA-56-7223-01A	3	178756093	179067741	1.6802
TCGA-56-7223-01A	3	179071209	179372279	1.2728
TCGA-56-7223-01A	3	179380009	179992246	1.6194
TCGA-56-7223-01A	3	179994043	180021200	0.9178
TCGA-56-7223-01A	3	180021814	180805966	0.4889
TCGA-56-7223-01A	3	180808330	180957413	0.7649
TCGA-56-7223-01A	3	180961865	180963006	1.7288
TCGA-56-7223-01A	3	180971435	181173031	0.7317
TCGA-56-7223-01A	3	181175789	181266196	1.1774
TCGA-56-7223-01A	3	181268797	181274235	1.7311
TCGA-56-7223-01A	3	181276392	181296808	1.1194
TCGA-56-7223-01A	3	181297638	181319068	0.589
TCGA-56-7223-01A	3	181319488	181441270	1.123
TCGA-56-7223-01A	3	181450267	181488779	1.5152
TCGA-56-7223-01A	3	181489068	181663618	1.0547
TCGA-56-7223-01A	3	181668675	182856136	1.9138
TCGA-56-7223-01A	3	182860421	182932906	2.3394
TCGA-56-7223-01A	3	182934229	183100466	1.9935
TCGA-56-7223-01A	3	183105553	183247455	2.2622
TCGA-56-7223-01A	3	183247486	183409000	1.9817
TCGA-56-7223-01A	3	184179380	184954724	0.938
TCGA-56-7223-01A	3	184960606	185069231	0.7004
TCGA-56-7223-01A	3	185071354	187258353	0.9266
TCGA-56-7223-01A	3	187258468	187537836	0.7464
TCGA-56-7223-01A	3	187541468	188306980	0.9247
TCGA-56-7223-01A	3	188312675	188829038	0.7431
TCGA-56-7223-01A	3	188829363	188965641	0.9336
TCGA-56-7223-01A	3	188965811	189392912	0.7511
TCGA-56-7223-01A	3	189393202	189466682	1.2577
TCGA-56-7223-01A	3	189471476	189576036	0.9437
TCGA-56-7223-01A	3	189576370	189590432	1.9434
TCGA-56-7223-01A	3	189601130	190017054	0.9379
TCGA-56-7223-01A	3	190017112	190018584	0.6164
TCGA-56-7223-01A	3	190018936	190136729	1.0069
TCGA-56-7223-01A	3	190144595	190337243	1.8124
TCGA-56-7223-01A	3	190337304	190507448	1.1163
TCGA-56-7223-01A	3	190510526	190579456	0.8748
TCGA-56-7223-01A	3	190579777	190720143	1.1138
TCGA-56-7223-01A	3	190728698	190793436	0.9152
TCGA-56-7223-01A	3	190794378	191052713	0.7507
TCGA-56-7223-01A	3	191071937	191249990	0.472
TCGA-56-7223-01A	3	191251248	191345954	0.7388
TCGA-56-7223-01A	3	191346014	191346087	-0.0479
TCGA-56-7223-01A	3	191346220	191639518	0.7319
TCGA-56-7223-01A	3	191641584	191685458	0.9927
TCGA-56-7223-01A	3	191686572	191851784	0.7328
TCGA-56-7223-01A	3	191851845	191993595	1.1341
TCGA-56-7223-01A	3	192000909	193054461	0.9548
TCGA-56-7223-01A	3	193054506	193312493	1.0867
TCGA-56-7223-01A	3	193314292	193435605	2.0581
TCGA-56-7223-01A	3	193435773	193975792	1.1176
TCGA-56-7223-01A	3	193978040	194110308	1.9504
TCGA-56-7223-01A	3	194119269	194778822	1.1482
TCGA-56-7223-01A	3	194779628	194874642	1.7526
