sample	Chrom	Start	End	value
TCGA-44-2668-01A	1	3301765	24386093	-0.1295
TCGA-44-2668-01A	1	24386232	45498463	-0.0631
TCGA-44-2668-01A	1	45500910	47402333	0.0881
TCGA-44-2668-01A	1	47403203	52764094	0.0269
TCGA-44-2668-01A	1	52764909	53343616	0.0884
TCGA-44-2668-01A	1	53346270	53346539	-1.4397
TCGA-44-2668-01A	1	53353309	60077662	0.0769
TCGA-44-2668-01A	1	60077688	67038630	-0.0876
TCGA-44-2668-01A	1	67044015	68241787	0.0494
TCGA-44-2668-01A	1	68242951	113002219	-0.0989
TCGA-44-2668-01A	1	113004733	117257337	-0.3756
TCGA-44-2668-01A	1	117259125	119267783	-0.2674
TCGA-44-2668-01A	1	119276300	119981332	-0.0386
TCGA-44-2668-01A	1	119984738	154857098	0.2498
TCGA-44-2668-01A	1	154859775	155315261	0.446
TCGA-44-2668-01A	1	155317731	247650984	0.2228
TCGA-44-2668-01A	2	480597	94675825	-0.0289
TCGA-44-2668-01A	2	94675975	133955805	0.2227
TCGA-44-2668-01A	2	133956164	133956488	-1.9639
TCGA-44-2668-01A	2	133962149	139119552	0.0688
TCGA-44-2668-01A	2	139120051	139120852	-1.5871
TCGA-44-2668-01A	2	139120904	241537572	0.059
TCGA-44-2668-01A	3	2170634	9720911	-0.2347
TCGA-44-2668-01A	3	9725983	9983246	0.0959
TCGA-44-2668-01A	3	9990575	89773391	-0.2338
TCGA-44-2668-01A	3	89776979	135149091	0.1475
TCGA-44-2668-01A	3	135149110	197812401	0.3197
TCGA-44-2668-01A	4	1059384	170080354	-0.011
TCGA-44-2668-01A	4	170080508	171427515	-0.2761
TCGA-44-2668-01A	4	171429410	171803881	-0.0688
TCGA-44-2668-01A	4	171804073	180154225	-0.2513
TCGA-44-2668-01A	4	180156493	187842528	-0.0272
TCGA-44-2668-01A	5	913983	17454674	0.3414
TCGA-44-2668-01A	5	17455457	31347383	0.3077
TCGA-44-2668-01A	5	31347396	36503363	0.3438
TCGA-44-2668-01A	5	36503674	36503828	1.7134
TCGA-44-2668-01A	5	36505589	50856633	0.3343
TCGA-44-2668-01A	5	50865690	98753881	-0.0298
TCGA-44-2668-01A	5	98755278	98760265	-1.9488
TCGA-44-2668-01A	5	98765973	135393832	-0.0298
TCGA-44-2668-01A	5	135394553	135394830	-2.0361
TCGA-44-2668-01A	5	135395080	141984979	-0.0076
TCGA-44-2668-01A	5	141986582	142259488	0.1913
TCGA-44-2668-01A	5	142263185	146542173	-0.0327
TCGA-44-2668-01A	5	146542370	146542420	-1.8943
TCGA-44-2668-01A	5	146544721	172231342	-0.0302
TCGA-44-2668-01A	5	172231347	172231539	-2.2442
TCGA-44-2668-01A	5	172231777	180934240	-0.0182
TCGA-44-2668-01A	6	1011760	30381517	-0.0112
TCGA-44-2668-01A	6	30382883	31116036	0.1675
TCGA-44-2668-01A	6	31116298	73733835	-0.0063
TCGA-44-2668-01A	6	73735297	90376660	-0.2297
TCGA-44-2668-01A	6	90376743	90575021	-0.001
TCGA-44-2668-01A	6	90576903	138456649	-0.2424
TCGA-44-2668-01A	6	138460884	138465446	-2.096
