sample	Chrom	Start	End	value
TCGA-37-4129-01A	1	3301765	80575998	0.0122
TCGA-37-4129-01A	1	80576214	149927059	-0.1079
TCGA-37-4129-01A	1	149928056	225137148	-0.0163
TCGA-37-4129-01A	1	225139760	225139910	1.3848
TCGA-37-4129-01A	1	225140000	247650984	-0.0259
TCGA-37-4129-01A	2	480597	2044152	-0.0557
TCGA-37-4129-01A	2	2044558	55249455	0.0179
TCGA-37-4129-01A	2	55249801	55252886	-2.2773
TCGA-37-4129-01A	2	55252962	66805564	0.0199
TCGA-37-4129-01A	2	66806533	241537572	-0.0057
TCGA-37-4129-01A	3	2170634	197812401	-0.2576
TCGA-37-4129-01A	4	1059384	52273469	0.0741
TCGA-37-4129-01A	4	52273576	74734419	-0.0229
TCGA-37-4129-01A	4	74734909	85722589	0.0873
TCGA-37-4129-01A	4	85722704	85722949	1.3645
TCGA-37-4129-01A	4	85722977	98391197	0.0979
TCGA-37-4129-01A	4	98391668	161555930	-0.0237
TCGA-37-4129-01A	4	161556032	161559297	-2.4513
TCGA-37-4129-01A	4	161559759	184200262	-0.0244
TCGA-37-4129-01A	4	184200296	184200580	-1.4371
TCGA-37-4129-01A	4	184202241	187842528	-0.0249
TCGA-37-4129-01A	5	913983	121422952	0.0836
TCGA-37-4129-01A	5	121427703	121429523	-1.9888
TCGA-37-4129-01A	5	121430027	180934240	0.069
TCGA-37-4129-01A	6	1011760	170596889	0.1054
TCGA-37-4129-01A	7	664936	158592540	0.0962
TCGA-37-4129-01A	8	667625	144182542	0.0808
TCGA-37-4129-01A	9	789794	138044505	0.0892
TCGA-37-4129-01A	10	366509	120525886	0.0882
TCGA-37-4129-01A	10	120526534	126223015	0.0551
TCGA-37-4129-01A	10	126223489	126229874	-1.0762
TCGA-37-4129-01A	10	126230045	133411599	0.0635
TCGA-37-4129-01A	11	456012	76842946	0.0826
TCGA-37-4129-01A	11	76857858	76858539	-2.2172
TCGA-37-4129-01A	11	76859016	134272740	0.0702
TCGA-37-4129-01A	12	780472	52111742	-0.049
TCGA-37-4129-01A	12	52118966	52151525	0.5103
TCGA-37-4129-01A	12	52157251	128986600	-0.0527
TCGA-37-4129-01A	12	128989361	128989393	-2.6439
TCGA-37-4129-01A	12	128989622	132605822	-0.078
TCGA-37-4129-01A	13	18874255	30603637	0.0541
TCGA-37-4129-01A	13	30603886	30605780	-2.8132
TCGA-37-4129-01A	13	30606537	41639474	0.0602
TCGA-37-4129-01A	13	41645766	42185452	-0.0883
TCGA-37-4129-01A	13	42185617	46104904	0.061
TCGA-37-4129-01A	13	46105177	82741527	-0.0474
TCGA-37-4129-01A	13	82741877	100956119	-0.1104
TCGA-37-4129-01A	13	100958400	114226675	-0.0598
TCGA-37-4129-01A	14	20033191	105533894	0.1006
TCGA-37-4129-01A	15	23437561	77555319	0.0493
TCGA-37-4129-01A	15	77556849	77557317	-2.2072
TCGA-37-4129-01A	15	77557804	101344124	0.0426
TCGA-37-4129-01A	16	603333	5205773	0.1347
TCGA-37-4129-01A	16	5205873	89317317	0.0776
TCGA-37-4129-01A	17	1074619	82959812	0.0975
TCGA-37-4129-01A	18	326691	79349796	0.0968
TCGA-37-4129-01A	19	283868	21969976	-0.227
TCGA-37-4129-01A	19	21970074	34897248	-0.2844
TCGA-37-4129-01A	19	34901830	58370362	-0.2391
TCGA-37-4129-01A	20	472817	63588502	0.0706
