sample	Chrom	Start	End	value
TCGA-43-6143-01A	1	3301765	5433332	-0.0241
TCGA-43-6143-01A	1	5434820	14299029	0.0436
TCGA-43-6143-01A	1	14301230	14757019	-0.4024
TCGA-43-6143-01A	1	14758650	24485999	0.055
TCGA-43-6143-01A	1	24486665	41673722	0.0243
TCGA-43-6143-01A	1	41676718	44538073	0.0684
TCGA-43-6143-01A	1	44538221	50322421	0.0201
TCGA-43-6143-01A	1	50322660	51029129	0.0698
TCGA-43-6143-01A	1	51037672	59022351	-0.3741
TCGA-43-6143-01A	1	59023124	69259975	-0.3552
TCGA-43-6143-01A	1	69261156	82742037	-0.3897
TCGA-43-6143-01A	1	82742463	86095431	-0.3265
TCGA-43-6143-01A	1	86096369	92280877	-0.3892
TCGA-43-6143-01A	1	92281590	96877921	-0.2981
TCGA-43-6143-01A	1	96884869	104670775	-0.3693
TCGA-43-6143-01A	1	104672277	108753349	-0.3049
TCGA-43-6143-01A	1	108753559	109349456	-0.3635
TCGA-43-6143-01A	1	109352071	109353500	-1.6972
TCGA-43-6143-01A	1	109357863	112101158	-0.387
TCGA-43-6143-01A	1	112108806	119984738	-0.3378
TCGA-43-6143-01A	1	119984772	150002511	0.2216
TCGA-43-6143-01A	1	150004041	150864342	0.3249
TCGA-43-6143-01A	1	150873363	157616458	0.7606
TCGA-43-6143-01A	1	157618540	157626296	-0.3677
TCGA-43-6143-01A	1	157632415	158544407	0.7229
TCGA-43-6143-01A	1	158544421	158545233	0.2535
TCGA-43-6143-01A	1	158545295	159423207	0.759
TCGA-43-6143-01A	1	159429978	160056150	0.4585
TCGA-43-6143-01A	1	160063353	163625473	0.978
TCGA-43-6143-01A	1	163625805	165303635	1.0436
TCGA-43-6143-01A	1	165305097	179842250	0.9857
TCGA-43-6143-01A	1	179845171	180987849	0.8048
TCGA-43-6143-01A	1	180987933	183620665	0.7398
TCGA-43-6143-01A	1	183620933	192436491	0.7846
TCGA-43-6143-01A	1	192436531	192850094	1.0068
TCGA-43-6143-01A	1	192850186	192872160	0.4641
TCGA-43-6143-01A	1	192875825	192894619	0.9461
TCGA-43-6143-01A	1	192898397	193211517	0.3736
TCGA-43-6143-01A	1	193211573	193398103	0.2262
TCGA-43-6143-01A	1	193398687	194309613	0.4242
TCGA-43-6143-01A	1	194311377	194335529	1.0832
TCGA-43-6143-01A	1	194338990	194353114	0.4657
TCGA-43-6143-01A	1	194353195	199494377	1.0436
TCGA-43-6143-01A	1	199502267	201262339	0.4365
TCGA-43-6143-01A	1	201264679	205184184	0.9796
TCGA-43-6143-01A	1	205186853	207282056	0.406
TCGA-43-6143-01A	1	207283129	208370660	0.4469
TCGA-43-6143-01A	1	208371270	210283179	0.5131
TCGA-43-6143-01A	1	210285516	215244284	0.4409
TCGA-43-6143-01A	1	215244867	215720078	0.606
TCGA-43-6143-01A	1	215720217	217850966	0.4621
TCGA-43-6143-01A	1	217851148	238765951	0.4218
TCGA-43-6143-01A	1	238766225	245843137	0.3493
TCGA-43-6143-01A	1	245843320	246026700	0.0754
TCGA-43-6143-01A	1	246435044	247644025	0.3325
TCGA-43-6143-01A	1	247646986	247650984	0.8857
TCGA-43-6143-01A	2	480597	2675709	0.1079
TCGA-43-6143-01A	2	2684076	5036154	0.2571
TCGA-43-6143-01A	2	5036657	5511203	-0.0262
TCGA-43-6143-01A	2	5511439	6065040	0.1917
TCGA-43-6143-01A	2	6065354	7752183	0.2309
TCGA-43-6143-01A	2	7752513	10818059	0.2878
TCGA-43-6143-01A	2	10818132	11314289	0.2405
TCGA-43-6143-01A	2	11316454	12727866	0.2019
TCGA-43-6143-01A	2	12731066	14963848	0.2742
TCGA-43-6143-01A	2	14963930	14967431	-0.6955
TCGA-43-6143-01A	2	14967672	15955562	0.2683
TCGA-43-6143-01A	2	15955768	21215922	0.3207
TCGA-43-6143-01A	2	21215991	31395136	0.2826
TCGA-43-6143-01A	2	31396096	31405658	-1.2168
TCGA-43-6143-01A	2	31405839	32347411	0.2947
TCGA-43-6143-01A	2	32347914	34997138	0.2418
TCGA-43-6143-01A	2	35008785	46468368	0.3135
TCGA-43-6143-01A	2	46468663	59287611	0.2796
TCGA-43-6143-01A	2	59287994	70876533	0.3074
TCGA-43-6143-01A	2	70881650	78002984	0.2611
TCGA-43-6143-01A	2	78003396	78125254	-0.1296
TCGA-43-6143-01A	2	78126446	78718466	0.2832
TCGA-43-6143-01A	2	78722449	80977887	0.2088
TCGA-43-6143-01A	2	80978000	88403681	0.2647
TCGA-43-6143-01A	2	88404642	88504367	0.1292
TCGA-43-6143-01A	2	88504403	88824635	0.2357
TCGA-43-6143-01A	2	88824666	100060160	0.1164
TCGA-43-6143-01A	2	100060462	100103107	0.0371
TCGA-43-6143-01A	2	100111978	104165864	-0.1896
TCGA-43-6143-01A	2	104171363	104425141	0.0765
TCGA-43-6143-01A	2	104426043	132649260	-0.1824
TCGA-43-6143-01A	2	132649417	141006595	0.1366
TCGA-43-6143-01A	2	141007124	141055647	-1.9876
TCGA-43-6143-01A	2	141059604	141256043	-3.6423
TCGA-43-6143-01A	2	141256097	141258057	-2.1354
TCGA-43-6143-01A	2	141260251	141304609	0.0035
TCGA-43-6143-01A	2	141307419	141551545	-2.0235
TCGA-43-6143-01A	2	141557383	141749744	0.1913
TCGA-43-6143-01A	2	141749955	141778982	-1.9149
TCGA-43-6143-01A	2	141782143	143622058	0.2064
TCGA-43-6143-01A	2	143622973	151791518	0.1516
TCGA-43-6143-01A	2	151792791	157459117	0.1961
TCGA-43-6143-01A	2	157464145	157464484	-1.2002
TCGA-43-6143-01A	2	157465223	160569352	0.2161
TCGA-43-6143-01A	2	160571159	163700950	0.1596
TCGA-43-6143-01A	2	163702822	167608360	0.1988
TCGA-43-6143-01A	2	167612295	167651513	-0.2166
TCGA-43-6143-01A	2	167651616	171792082	0.1804
TCGA-43-6143-01A	2	171795286	176748035	0.5236
TCGA-43-6143-01A	2	176751198	176751488	-0.5159
TCGA-43-6143-01A	2	176753478	177100071	0.5409
TCGA-43-6143-01A	2	177102850	179440815	0.2029
